date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:11:50	39548/39548	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202026%2009:11:50%20GMT	https://www.sali-group.com/bonded-abrasives/sali-metal-grinding-wheel-115-6-22-2mm.html	C:/My%20Web%20Sites/dsdsds/www.sali-group.com/bonded-abrasives/sali-metal-grinding-wheel-115-6-22-2mm.html	(from https://www.sali-group.com/)
12:11:50	35420/35420	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202026%2009:11:50%20GMT	https://www.sali-group.com/info/457142/	C:/My%20Web%20Sites/dsdsds/www.sali-group.com/info/457142/index.html	(from https://www.sali-group.com/)
12:11:51	38425/38425	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202026%2009:11:51%20GMT	https://www.sali-group.com/bonded-abrasives/sali-cutting-disc.html	C:/My%20Web%20Sites/dsdsds/www.sali-group.com/bonded-abrasives/sali-cutting-disc.html	(from https://www.sali-group.com/)
12:11:51	30691/30691	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202026%2009:11:51%20GMT	https://www.sali-group.com/info/457144/	C:/My%20Web%20Sites/dsdsds/www.sali-group.com/info/457144/index.html	(from https://www.sali-group.com/)
12:11:51	38895/38895	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202026%2009:11:51%20GMT	https://www.sali-group.com/info/457145/	C:/My%20Web%20Sites/dsdsds/www.sali-group.com/info/457145/index.html	(from https://www.sali-group.com/)
12:11:52	39945/39945	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202026%2009:11:52%20GMT	https://www.sali-group.com/bonded-abrasives/sali-metal-cutting-disc.html	C:/My%20Web%20Sites/dsdsds/www.sali-group.com/bonded-abrasives/sali-metal-cutting-disc.html	(from https://www.sali-group.com/)
12:11:52	40009/40009	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202026%2009:11:53%20GMT	https://www.sali-group.com/welding-tools/sali-welding-electrode-holder-welding-ground.html	C:/My%20Web%20Sites/dsdsds/www.sali-group.com/welding-tools/sali-welding-electrode-holder-welding-ground.html	(from https://www.sali-group.com/)
12:11:53	32579/32579	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202026%2009:11:50%20GMT	https://www.sali-group.com/info/457143/	C:/My%20Web%20Sites/dsdsds/www.sali-group.com/info/457143/index.html	(from https://www.sali-group.com/)
12:11:53	41693/41693	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202026%2009:11:53%20GMT	https://www.sali-group.com/bonded-abrasives/sali-oxford-cloth-tool-belt-series.html	C:/My%20Web%20Sites/dsdsds/www.sali-group.com/bonded-abrasives/sali-oxford-cloth-tool-belt-series.html	(from https://www.sali-group.com/)
12:11:54	41422/41422	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202026%2009:11:54%20GMT	https://www.sali-group.com/cordless/sali-cordlesselectric-driver-8203f.html	C:/My%20Web%20Sites/dsdsds/www.sali-group.com/cordless/sali-cordlesselectric-driver-8203f.html	(from https://www.sali-group.com/)
12:11:59	42859/42859	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202026%2009:11:55%20GMT	https://www.sali-group.com/cordless/sali-8701f-cordless-pressure-washer.html	C:/My%20Web%20Sites/dsdsds/www.sali-group.com/cordless/sali-8701f-cordless-pressure-washer.html	(from https://www.sali-group.com/)
12:12:00	32788/32788	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202026%2009:12:00%20GMT	https://www.sali-group.com/news/sali-s-2025-a-year-of-deepening-expertise-gl-85380043.html	C:/My%20Web%20Sites/dsdsds/www.sali-group.com/news/sali-s-2025-a-year-of-deepening-expertise-gl-85380043.html	(from https://www.sali-group.com/)
12:12:00	31992/31992	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202026%2009:12:01%20GMT	https://www.sali-group.com/news/sali-hits-1-million-global-user-milestone-fue-85375957.html	C:/My%20Web%20Sites/dsdsds/www.sali-group.com/news/sali-hits-1-million-global-user-milestone-fue-85375957.html	(from https://www.sali-group.com/)
12:12:00	34242/34242	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202026%2009:12:01%20GMT	https://www.sali-group.com/news/sali-tools-deepens-community-commitment-in-afr-85374238.html	C:/My%20Web%20Sites/dsdsds/www.sali-group.com/news/sali-tools-deepens-community-commitment-in-afr-85374238.html	(from https://www.sali-group.com/)
12:12:01	922/922	---M--	200	added ('OK')	image/png	etag:%226215c10d3e75790c337ee95a2d800b78b593448f%22	https://www.sali-group.com/uploads/202027152/erwei62576420201117.jpg?size=180x0	C:/My%20Web%20Sites/dsdsds/www.sali-group.com/uploads/202027152/erwei625764202011174e17.png	(from https://www.sali-group.com/)
